,year,name,movie,genre,age
42,2008,Angelina Jolie,Changeling,F,
43,2008,Melissa Leo,Frozen River,F,
44,2008,Meryl Streep,Doubt,F,
45,2009,Sandra Bullock ‡,The Blind Side,F,
46,2009,Helen Mirren,The Last Station,F,
47,2009,Carey Mulligan,An Education,F,
48,2009,Gabourey Sidibe,Precious,F,
49,2009,Meryl Streep,Julie & Julia,F,
0,2010,Natalie Portman ‡,Black Swan,F,
1,2010,Annette Bening,The Kids Are All Right,F,
2,2010,Nicole Kidman,Rabbit Hole,F,
3,2010,Jennifer Lawrence,Winter's Bone,F,
4,2010,Michelle Williams,Blue Valentine,F,
5,2011,Meryl Streep ‡,The Iron Lady,F,
6,2011,Glenn Close,Albert Nobbs,F,
7,2011,Viola Davis,The Help,F,
8,2011,Rooney Mara,The Girl with the Dragon Tattoo,F,
9,2011,Michelle Williams,My Week with Marilyn,F,
10,2012,Jennifer Lawrence ‡,Silver Linings Playbook,F,
11,2012,Jessica Chastain,Zero Dark Thirty,F,
12,2012,Emmanuelle Riva,Amour,F,
13,2012,Quvenzhané Wallis,Beasts of the Southern Wild,F,
14,2012,Naomi Watts,The Impossible,F,
15,2013,Cate Blanchett ‡,Blue Jasmine,F,
16,2013,Amy Adams,American Hustle,F,
17,2013,Sandra Bullock,Gravity,F,
18,2013,Judi Dench,Philomena,F,
19,2013,Meryl Streep,August: Osage County,F,
20,2014,Julianne Moore ‡,Still Alice,F,
21,2014,Marion Cotillard,"Two Days, One Night",F,
22,2014,Felicity Jones,The Theory of Everything,F,
23,2014,Rosamund Pike,Gone Girl,F,
24,2014,Reese Witherspoon,Wild,F,
25,2015,Brie Larson ‡,Room,F,
26,2015,Cate Blanchett,Carol,F,
27,2015,Jennifer Lawrence,Joy,F,
28,2015,Charlotte Rampling,45 Years,F,
29,2015,Saoirse Ronan,Brooklyn,F,
30,2016,Emma Stone ‡,La La Land,F,
31,2016,Isabelle Huppert,Elle,F,
32,2016,Ruth Negga,Loving,F,
33,2016,Natalie Portman,Jackie,F,
34,2016,Meryl Streep,Florence Foster Jenkins,F,
35,2017,Frances McDormand ‡,"Three Billboards Outside Ebbing, Missouri",F,
36,2017,Sally Hawkins,The Shape of Water,F,
37,2017,Margot Robbie,"I, Tonya",F,
38,2017,Saoirse Ronan,Lady Bird,F,
39,2017,Meryl Streep,The Post,F,
40,2018,Olivia Colman ‡,The Favourite,F,
41,2018,Yalitza Aparicio,Roma,F,
42,2018,Glenn Close,The Wife,F,
43,2018,Lady Gaga,A Star Is Born,F,
44,2018,Melissa McCarthy,Can You Ever Forgive Me?,F,
45,2019,Renée Zellweger ‡,Judy,F,
46,2019,Cynthia Erivo,Harriet,F,
47,2019,Scarlett Johansson,Marriage Story,F,
48,2019,Saoirse Ronan,Little Women,F,
49,2019,Charlize Theron,Bombshell,F,
0,2020,Frances McDormand ‡,Nomadland,F,
1,2020,Viola Davis,Ma Rainey's Black Bottom,F,
2,2020,Andra Day,The United States vs. Billie Holiday,F,
3,2020,Vanessa Kirby,Pieces of a Woman,F,
4,2020,Carey Mulligan,Promising Young Woman,F,
5,2021,Jessica Chastain ‡,The Eyes of Tammy Faye,F,
6,2021,Olivia Colman,The Lost Daughter,F,
7,2021,Penélope Cruz,Parallel Mothers,F,
8,2021,Nicole Kidman,Being the Ricardos,F,
9,2021,Kristen Stewart,Spencer,F,
10,2022,Michelle Yeoh ‡,Everything Everywhere All at Once,F,
11,2022,Cate Blanchett,Tár,F,
12,2022,Ana de Armas,Blonde,F,
13,2022,Andrea Riseborough,To Leslie,F,
14,2022,Michelle Williams,The Fabelmans,F,
15,2023,Annette Bening,Nyad,F,
16,2023,Lily Gladstone,Killers of the Flower Moon,F,
17,2023,Sandra Hüller,Anatomy of a Fall,F,
18,2023,Carey Mulligan,Maestro,F,
19,2023,Emma Stone,Poor Things,F,
0,1929,Janet Gaynor,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans",F,22.0
1,1930,Mary Pickford,Coquette,F,37.0
2,1931,Norma Shearer,The Divorcee	,F,28.0
3,1932,Marie Dressler,Min and Bill,F,63.0
4,1933,Helen Hayes,The Sin of Madelon Claudet	,F,32.0
5,1934,Katharine Hepburn,Morning Glory,F,26.0
6,1935,Claudette Colbert,It Happened One Night,F,31.0
7,1936,Bette Davis,Dangerous,F,27.0
8,1937,Luise Rainer,The Great Ziegfeld,F,27.0
9,1938,Luise Rainer,The Good Earth,F,28.0
10,1939,Bette Davis,Jezebel,F,30.0
11,1940,Vivien Leigh,Gone with the Wind,F,26.0
12,1941,Ginger Rogers,Kitty Foyle,F,29.0
13,1942,Joan Fontaine,Suspicion	,F,24.0
